date,AB,BC,CV,HD,POW,SB,CTM
2014-01-01,184,261,141,121,40,128,146
2014-01-02,216,283,141,126,39,126,153
2014-01-03,213,296,134,116,61,134,150
2014-01-04,199,293,148,141,62,136,148
2014-01-05,204,252,142,142,43,127,141
2014-01-06,201,275,143,146,40,131,138
2014-01-07,189,241,148,132,43,147,154
2014-01-08,211,265,164,130,45,138,154
2014-01-09,199,231,163,128,33,127,151
2014-01-10,184,282,144,127,36,141,151
2014-01-11,179,305,153,137,41,158,155
2014-01-12,185,259,145,143,43,122,149
2014-01-13,199,277,155,135,55,124,158
2014-01-14,203,284,137,149,43,117,148
2014-01-15,187,277,152,168,32,149,161
2014-01-16,197,260,162,140,36,131,148
2014-01-17,165,258,137,121,39,128,148
2014-01-18,207,287,141,135,47,133,167
2014-01-19,198,281,138,128,44,136,133
2014-01-20,188,260,130,125,37,121,129
2014-01-21,191,278,142,148,42,140,163
2014-01-22,204,283,128,137,54,132,169
2014-01-23,164,298,160,124,60,133,137
2014-01-24,198,289,148,131,49,138,162
2014-01-25,196,288,137,152,57,146,164
2014-01-26,198,296,118,122,51,157,160
2014-01-27,192,271,156,172,47,124,143
2014-01-28,211,275,139,126,36,150,159
2014-01-29,182,268,150,121,58,128,175
2014-01-30,180,284,171,150,43,126,160
2014-01-31,189,265,147,134,46,137,141
2014-02-01,192,278,157,141,48,138,142
2014-02-02,179,277,133,152,51,144,146
2014-02-03,203,251,142,160,50,136,148
2014-02-04,182,261,157,137,43,147,136
2014-02-05,190,276,140,147,57,145,156
2014-02-06,186,259,160,119,40,138,164
2014-02-07,177,262,146,139,45,136,152
2014-02-08,178,279,144,120,36,133,180
2014-02-09,198,290,136,140,56,142,145
2014-02-10,190,257,154,129,52,152,147
2014-02-11,189,279,145,123,44,125,147
2014-02-12,203,266,145,172,48,141,137
2014-02-13,177,284,146,137,53,137,143
2014-02-14,169,273,149,146,32,128,148
2014-02-15,181,269,133,132,45,131,148
2014-02-16,182,255,139,113,35,128,143
2014-02-17,176,264,129,149,33,120,156
2014-02-18,202,253,149,143,58,129,134
2014-02-19,184,272,137,133,35,151,157
2014-02-20,225,300,137,117,40,150,145
2014-02-21,205,270,156,158,48,139,123
2014-02-22,186,262,138,146,50,137,152
2014-02-23,198,249,140,133,41,132,140
2014-02-24,189,261,148,126,48,145,149
2014-02-25,176,243,148,133,38,127,162
2014-02-26,184,296,133,144,46,134,149
2014-02-27,210,297,118,145,37,139,159
2014-02-28,189,307,127,158,55,112,157
2014-03-01,177,244,116,154,55,111,143
2014-03-02,170,271,118,121,41,131,128
2014-03-03,211,220,136,123,40,147,137
2014-03-04,173,260,126,106,51,149,137
2014-03-05,185,247,160,122,44,123,156
2014-03-06,185,251,115,124,26,165,129
2014-03-07,198,266,116,153,39,131,144
2014-03-08,188,277,152,113,45,136,140
2014-03-09,195,254,110,127,37,123,136
2014-03-10,176,236,143,123,41,112,135
2014-03-11,178,254,130,117,44,133,134
2014-03-12,194,255,162,144,33,141,135
2014-03-13,237,283,173,144,44,128,156
2014-03-14,176,287,123,102,48,116,136
2014-03-15,192,260,153,111,39,136,146
2014-03-16,111,253,96,116,39,114,97
2014-03-17,173,262,138,105,44,134,157
2014-03-18,170,279,134,72,20,84,153
2014-03-19,195,237,132,118,38,121,151
2014-03-20,203,265,131,142,29,152,165
2014-03-21,189,280,114,133,41,139,137
2014-03-22,193,279,124,132,46,127,124
2014-03-23,200,233,115,113,54,132,130
2014-03-24,194,257,130,124,29,119,152
2014-03-25,206,263,141,153,38,148,162
2014-03-26,224,276,151,134,45,108,159
2014-03-27,181,299,136,129,28,123,146
2014-03-28,221,315,170,159,43,133,159
2014-03-29,181,262,125,138,39,143,146
2014-03-30,182,233,113,115,35,97,131
2014-03-31,205,247,166,104,55,123,152
2014-04-01,194,248,148,148,43,119,142
2014-04-02,217,249,142,116,29,119,147
2014-04-03,211,275,138,133,43,127,144
2014-04-04,201,282,140,135,51,142,141
2014-04-05,174,248,140,122,49,122,125
2014-04-06,168,259,134,105,41,131,142
2014-04-07,166,224,97,122,33,89,125
2014-04-08,174,253,124,96,38,130,157
2014-04-09,174,259,129,148,41,106,120
2014-04-10,182,242,132,118,32,116,141
2014-04-11,193,230,123,101,29,142,147
2014-04-12,187,269,120,116,44,123,155
2014-04-13,200,263,142,124,39,116,125
2014-04-14,184,251,131,110,24,121,146
2014-04-15,163,257,130,118,43,126,122
2014-04-16,205,231,135,120,41,119,130
2014-04-17,212,277,131,160,48,106,141
2014-04-18,168,232,132,115,44,104,133
2014-04-19,151,242,119,115,43,126,148
2014-04-20,166,244,126,116,43,149,123
2014-04-21,166,235,129,89,39,150,129
2014-04-22,151,229,115,113,41,122,125
2014-04-23,154,268,129,155,56,106,135
2014-04-24,154,240,130,115,34,138,136
2014-04-25,200,264,114,127,34,103,115
2014-04-26,157,203,124,106,31,100,128
2014-04-27,165,247,134,121,45,115,120
2014-04-28,182,264,124,98,38,108,126
2014-04-29,183,243,130,138,35,127,137
2014-04-30,188,268,147,140,38,95,151
2014-05-01,205,282,151,145,35,116,139
2014-05-02,160,270,163,121,37,121,118
2014-05-03,206,235,138,109,50,108,129
2014-05-04,163,238,134,111,34,125,145
