date,AB,BC,CTM,CV,HD,POW,SB
2014-01-01,264,404,224,268,173,63,178
2014-01-02,268,328,172,190,131,46,160
2014-01-03,245,328,172,179,127,68,156
2014-01-04,251,370,168,189,156,76,160
2014-01-05,245,314,143,190,152,53,157
2014-01-06,243,315,148,173,153,46,130
2014-01-07,223,273,155,202,145,48,154
2014-01-08,248,280,160,223,133,49,152
2014-01-09,235,255,162,216,130,33,139
2014-01-10,223,308,162,193,131,41,142
2014-01-11,209,351,164,219,142,45,182
2014-01-12,234,306,152,193,148,45,143
2014-01-13,243,319,173,216,142,63,138
2014-01-14,228,312,158,191,155,45,152
2014-01-15,210,326,183,232,171,35,171
2014-01-16,239,275,146,225,143,40,143
2014-01-17,203,289,165,175,128,41,125
2014-01-18,256,331,191,221,124,56,137
2014-01-19,234,316,147,220,139,50,156
2014-01-20,223,287,144,168,124,44,160
2014-01-21,241,303,176,197,158,46,154
2014-01-22,251,309,185,176,149,57,147
2014-01-23,183,339,157,201,136,63,156
2014-01-24,248,338,180,204,140,59,160
2014-01-25,244,338,186,207,157,63,164
2014-01-26,252,344,176,169,139,58,187
2014-01-27,235,304,155,214,172,57,137
2014-01-28,269,310,197,210,134,38,179
2014-01-29,210,303,203,205,121,65,144
2014-01-30,212,317,181,233,153,49,131
2014-01-31,223,299,155,188,147,47,165
2014-02-01,287,313,180,232,155,54,170
2014-02-02,212,309,159,169,171,61,158
2014-02-03,231,278,175,184,169,54,151
2014-02-04,199,291,149,201,146,46,172
2014-02-05,244,301,164,191,170,69,177
2014-02-06,238,306,181,214,128,48,161
2014-02-07,220,302,163,178,160,50,169
2014-02-08,258,329,203,229,124,41,148
2014-02-09,270,351,165,242,152,65,159
2014-02-10,218,318,170,209,132,58,177
2014-02-11,227,299,154,199,132,51,139
2014-02-12,246,323,148,183,185,52,163
2014-02-13,210,329,161,196,139,58,156
2014-02-14,237,305,175,203,163,37,145
2014-02-15,233,295,159,177,149,52,152
2014-02-16,230,281,156,214,119,37,136
2014-02-17,222,301,181,181,147,36,136
2014-02-18,246,291,152,206,155,66,141
2014-02-19,248,306,177,228,135,40,186
2014-02-20,283,346,167,201,124,47,167
2014-02-21,268,306,134,202,162,53,156
2014-02-22,232,323,179,208,176,64,191
2014-02-23,233,275,146,210,138,46,170
2014-02-24,242,287,177,213,138,53,162
